Language_ID,FastText,Langdetect
urd,96.0,96.4
jpn,100.0,100.0
swa,85.4,98.4
por,98.6,96.2
eng,100.0,97.8
tur,99.8,99.0
ita,99.8,97.6
ell,100.0,100.0
ara,99.6,99.6
vie,99.8,100.0
rus,99.8,98.2
nld,98.6,93.6
hin,96.8,96.2
pol,98.6,97.6
deu,100.0,99.6
bul,99.2,94.8
tha,100.0,100.0
spa,100.0,98.2
fra,100.0,98.8
zho,100.0,96.2
